[2026-05-11 07:30:47] removing existing /home/paul/avn_bench_repo
[2026-05-11 07:30:48] run tag: compress
[2026-05-11 07:30:48] creating repo at /home/paul/avn_bench_repo
[2026-05-11 07:30:49] starting avnserver on port 9990
[2026-05-11 07:30:51] starting 5000 commits × 102400B random text, batches of 50
[2026-05-11 07:34:35] batch 55: 2750/5000 commits, batch=4.3s, avg=86ms, repo=206MB, total=223s
[2026-05-11 07:34:39] batch 56: 2800/5000 commits, batch=4.5s, avg=90ms, repo=210MB, total=228s
[2026-05-11 07:34:43] batch 57: 2850/5000 commits, batch=4.4s, avg=87ms, repo=214MB, total=232s
[2026-05-11 07:34:48] batch 58: 2900/5000 commits, batch=4.4s, avg=88ms, repo=218MB, total=237s
[2026-05-11 07:34:52] batch 59: 2950/5000 commits, batch=4.1s, avg=83ms, repo=221MB, total=241s
[2026-05-11 07:34:59] batch 60: 3000/5000 commits, batch=6.5s, avg=130ms, repo=225MB, total=247s
[2026-05-11 07:35:03] batch 61: 3050/5000 commits, batch=4.7s, avg=93ms, repo=229MB, total=252s
[2026-05-11 07:35:08] batch 62: 3100/5000 commits, batch=4.6s, avg=91ms, repo=233MB, total=257s
[2026-05-11 07:35:12] batch 63: 3150/5000 commits, batch=4.4s, avg=88ms, repo=236MB, total=261s
[2026-05-11 07:35:17] batch 64: 3200/5000 commits, batch=4.6s, avg=92ms, repo=240MB, total=266s
[2026-05-11 07:35:21] batch 65: 3250/5000 commits, batch=4.7s, avg=93ms, repo=244MB, total=270s
[2026-05-11 07:35:26] batch 66: 3300/5000 commits, batch=4.5s, avg=91ms, repo=248MB, total=275s
[2026-05-11 07:35:30] batch 67: 3350/5000 commits, batch=4.5s, avg=89ms, repo=251MB, total=279s
[2026-05-11 07:35:35] batch 68: 3400/5000 commits, batch=4.5s, avg=89ms, repo=255MB, total=284s
[2026-05-11 07:35:40] batch 69: 3450/5000 commits, batch=4.6s, avg=91ms, repo=259MB, total=288s
[2026-05-11 07:35:44] batch 70: 3500/5000 commits, batch=4.6s, avg=92ms, repo=263MB, total=293s
[2026-05-11 07:35:49] batch 71: 3550/5000 commits, batch=4.5s, avg=90ms, repo=266MB, total=297s
[2026-05-11 07:35:53] batch 72: 3600/5000 commits, batch=4.6s, avg=92ms, repo=270MB, total=302s
[2026-05-11 07:35:58] batch 73: 3650/5000 commits, batch=4.6s, avg=93ms, repo=274MB, total=306s
[2026-05-11 07:36:04] batch 74: 3700/5000 commits, batch=6.6s, avg=131ms, repo=278MB, total=313s
[2026-05-11 07:36:09] batch 75: 3750/5000 commits, batch=4.5s, avg=89ms, repo=281MB, total=318s
[2026-05-11 07:36:13] batch 76: 3800/5000 commits, batch=4.5s, avg=89ms, repo=285MB, total=322s
[2026-05-11 07:36:18] batch 77: 3850/5000 commits, batch=4.5s, avg=90ms, repo=289MB, total=326s
[2026-05-11 07:36:22] batch 78: 3900/5000 commits, batch=4.6s, avg=92ms, repo=293MB, total=331s
[2026-05-11 07:36:27] batch 79: 3950/5000 commits, batch=4.5s, avg=90ms, repo=296MB, total=336s
[2026-05-11 07:36:32] batch 80: 4000/5000 commits, batch=5.3s, avg=105ms, repo=300MB, total=341s
[2026-05-11 07:36:37] batch 81: 4050/5000 commits, batch=4.7s, avg=95ms, repo=304MB, total=346s
[2026-05-11 07:36:42] batch 82: 4100/5000 commits, batch=4.6s, avg=91ms, repo=308MB, total=350s
[2026-05-11 07:36:46] batch 83: 4150/5000 commits, batch=4.3s, avg=86ms, repo=312MB, total=354s
[2026-05-11 07:36:51] batch 84: 4200/5000 commits, batch=4.5s, avg=90ms, repo=315MB, total=359s
[2026-05-11 07:36:55] batch 85: 4250/5000 commits, batch=4.7s, avg=93ms, repo=319MB, total=364s
[2026-05-11 07:37:00] batch 86: 4300/5000 commits, batch=5.1s, avg=102ms, repo=323MB, total=369s
[2026-05-11 07:37:05] batch 87: 4350/5000 commits, batch=4.7s, avg=93ms, repo=327MB, total=373s
[2026-05-11 07:37:10] batch 88: 4400/5000 commits, batch=4.7s, avg=94ms, repo=330MB, total=378s
[2026-05-11 07:37:14] batch 89: 4450/5000 commits, batch=4.7s, avg=93ms, repo=334MB, total=383s
[2026-05-11 07:37:19] batch 90: 4500/5000 commits, batch=4.8s, avg=96ms, repo=338MB, total=388s
[2026-05-11 07:37:24] batch 91: 4550/5000 commits, batch=4.6s, avg=92ms, repo=342MB, total=392s
[2026-05-11 07:37:28] batch 92: 4600/5000 commits, batch=4.7s, avg=93ms, repo=345MB, total=397s
[2026-05-11 07:37:35] batch 93: 4650/5000 commits, batch=6.7s, avg=133ms, repo=349MB, total=403s
[2026-05-11 07:37:40] batch 94: 4700/5000 commits, batch=4.8s, avg=97ms, repo=353MB, total=408s
[2026-05-11 07:37:45] batch 95: 4750/5000 commits, batch=5.0s, avg=100ms, repo=357MB, total=413s
[2026-05-11 07:37:50] batch 96: 4800/5000 commits, batch=5.0s, avg=100ms, repo=360MB, total=418s
[2026-05-11 07:37:55] batch 97: 4850/5000 commits, batch=4.9s, avg=99ms, repo=364MB, total=423s
[2026-05-11 07:38:00] batch 98: 4900/5000 commits, batch=4.8s, avg=95ms, repo=368MB, total=428s
[2026-05-11 07:38:05] batch 99: 4950/5000 commits, batch=4.9s, avg=98ms, repo=372MB, total=433s
[2026-05-11 07:38:09] batch 100: 5000/5000 commits, batch=4.8s, avg=97ms, repo=375MB, total=438s
[2026-05-11 07:38:09] DONE. 5000 commits in 439s (11.4 commits/sec mean)
[2026-05-11 07:38:09] stopping avnserver
