[2026-05-10 17:58:02] removing existing /home/paul/avn_bench_repo
[2026-05-10 17:58:02] run tag: nocompress
[2026-05-10 17:58:02] creating repo at /home/paul/avn_bench_repo
[2026-05-10 17:58:02] AVN_NO_COMPRESS=1 (server-side zlib disabled)
[2026-05-10 17:58:02] starting avnserver on port 9990
[2026-05-10 17:58:04] starting 5000 commits × 102400B random text, batches of 50
[2026-05-10 18:01:34] batch 55: 2750/5000 commits, batch=3.8s, avg=75ms, repo=271MB, total=210s
[2026-05-10 18:01:38] batch 56: 2800/5000 commits, batch=3.8s, avg=77ms, repo=276MB, total=214s
[2026-05-10 18:01:42] batch 57: 2850/5000 commits, batch=3.8s, avg=76ms, repo=281MB, total=217s
[2026-05-10 18:01:46] batch 58: 2900/5000 commits, batch=4.0s, avg=79ms, repo=286MB, total=221s
[2026-05-10 18:01:54] batch 59: 2950/5000 commits, batch=8.0s, avg=160ms, repo=291MB, total=229s
[2026-05-10 18:01:58] batch 60: 3000/5000 commits, batch=3.9s, avg=77ms, repo=296MB, total=233s
[2026-05-10 18:02:02] batch 61: 3050/5000 commits, batch=3.9s, avg=78ms, repo=301MB, total=237s
[2026-05-10 18:02:06] batch 62: 3100/5000 commits, batch=3.9s, avg=78ms, repo=306MB, total=241s
[2026-05-10 18:02:09] batch 63: 3150/5000 commits, batch=3.8s, avg=77ms, repo=311MB, total=245s
[2026-05-10 18:02:13] batch 64: 3200/5000 commits, batch=3.9s, avg=77ms, repo=316MB, total=249s
[2026-05-10 18:02:22] batch 65: 3250/5000 commits, batch=8.5s, avg=170ms, repo=321MB, total=257s
[2026-05-10 18:02:26] batch 66: 3300/5000 commits, batch=3.9s, avg=78ms, repo=326MB, total=261s
[2026-05-10 18:02:30] batch 67: 3350/5000 commits, batch=4.0s, avg=79ms, repo=331MB, total=265s
[2026-05-10 18:02:34] batch 68: 3400/5000 commits, batch=4.0s, avg=79ms, repo=336MB, total=269s
[2026-05-10 18:02:38] batch 69: 3450/5000 commits, batch=3.9s, avg=78ms, repo=341MB, total=273s
[2026-05-10 18:02:42] batch 70: 3500/5000 commits, batch=4.0s, avg=80ms, repo=345MB, total=277s
[2026-05-10 18:02:46] batch 71: 3550/5000 commits, batch=3.9s, avg=78ms, repo=350MB, total=281s
[2026-05-10 18:02:50] batch 72: 3600/5000 commits, batch=4.0s, avg=80ms, repo=355MB, total=285s
[2026-05-10 18:02:54] batch 73: 3650/5000 commits, batch=4.0s, avg=81ms, repo=360MB, total=289s
[2026-05-10 18:02:58] batch 74: 3700/5000 commits, batch=4.0s, avg=80ms, repo=365MB, total=293s
[2026-05-10 18:03:02] batch 75: 3750/5000 commits, batch=4.0s, avg=81ms, repo=370MB, total=297s
[2026-05-10 18:03:06] batch 76: 3800/5000 commits, batch=4.1s, avg=82ms, repo=375MB, total=301s
[2026-05-10 18:03:10] batch 77: 3850/5000 commits, batch=4.0s, avg=80ms, repo=380MB, total=305s
[2026-05-10 18:03:14] batch 78: 3900/5000 commits, batch=4.1s, avg=81ms, repo=385MB, total=309s
[2026-05-10 18:03:18] batch 79: 3950/5000 commits, batch=4.0s, avg=80ms, repo=390MB, total=313s
[2026-05-10 18:03:22] batch 80: 4000/5000 commits, batch=4.1s, avg=82ms, repo=395MB, total=317s
[2026-05-10 18:03:26] batch 81: 4050/5000 commits, batch=4.1s, avg=81ms, repo=400MB, total=321s
[2026-05-10 18:03:30] batch 82: 4100/5000 commits, batch=4.1s, avg=83ms, repo=405MB, total=325s
[2026-05-10 18:03:34] batch 83: 4150/5000 commits, batch=4.1s, avg=81ms, repo=410MB, total=329s
[2026-05-10 18:03:38] batch 84: 4200/5000 commits, batch=4.0s, avg=81ms, repo=415MB, total=333s
[2026-05-10 18:03:42] batch 85: 4250/5000 commits, batch=4.1s, avg=81ms, repo=420MB, total=337s
[2026-05-10 18:03:46] batch 86: 4300/5000 commits, batch=4.1s, avg=82ms, repo=425MB, total=341s
[2026-05-10 18:03:51] batch 87: 4350/5000 commits, batch=4.2s, avg=84ms, repo=429MB, total=346s
[2026-05-10 18:03:55] batch 88: 4400/5000 commits, batch=4.1s, avg=83ms, repo=434MB, total=350s
[2026-05-10 18:04:03] batch 89: 4450/5000 commits, batch=7.8s, avg=156ms, repo=439MB, total=358s
[2026-05-10 18:04:07] batch 90: 4500/5000 commits, batch=4.1s, avg=82ms, repo=444MB, total=362s
[2026-05-10 18:04:11] batch 91: 4550/5000 commits, batch=4.2s, avg=83ms, repo=449MB, total=366s
[2026-05-10 18:04:15] batch 92: 4600/5000 commits, batch=4.2s, avg=84ms, repo=454MB, total=370s
[2026-05-10 18:04:19] batch 93: 4650/5000 commits, batch=4.2s, avg=84ms, repo=459MB, total=374s
[2026-05-10 18:04:24] batch 94: 4700/5000 commits, batch=4.3s, avg=86ms, repo=464MB, total=378s
[2026-05-10 18:04:28] batch 95: 4750/5000 commits, batch=4.5s, avg=91ms, repo=469MB, total=383s
[2026-05-10 18:04:32] batch 96: 4800/5000 commits, batch=4.2s, avg=84ms, repo=474MB, total=387s
[2026-05-10 18:04:36] batch 97: 4850/5000 commits, batch=4.2s, avg=84ms, repo=479MB, total=391s
[2026-05-10 18:04:41] batch 98: 4900/5000 commits, batch=4.2s, avg=84ms, repo=484MB, total=396s
[2026-05-10 18:04:45] batch 99: 4950/5000 commits, batch=4.2s, avg=85ms, repo=489MB, total=400s
[2026-05-10 18:04:49] batch 100: 5000/5000 commits, batch=4.3s, avg=86ms, repo=494MB, total=404s
[2026-05-10 18:04:49] DONE. 5000 commits in 405s (12.3 commits/sec mean)
[2026-05-10 18:04:49] stopping avnserver
